windSpdKts,gustKts,windVrbDeg,intensity,rain,visibilityMtrs,qnh,ws
11,0,0,0,0,9999,1018,0
10,0,0,0,0,9999,1018,0
10,0,0,0,0,9999,1018,0
11,0,0,0,0,9999,1018,0
13,0,0,0,0,9999,1017,1
13,0,0,0,0,9999,1017,0
12,0,60,0,0,9999,1017,0
13,0,60,0,0,9999,1016,0
13,0,60,0,0,9999,1016,0
13,0,70,0,0,9999,1016,1
12,0,70,0,0,9999,1017,0
13,0,60,0,0,9999,1018,0
13,0,60,0,0,9999,1018,0
14,0,0,0,0,9999,1019,0
12,0,60,0,0,9999,1020,1
14,0,0,0,0,9999,1020,0
11,0,60,0,0,9999,1020,0
05,0,80,0,0,9999,1021,0
04,0,60,0,0,9999,1020,0
04,0,0,0,0,9999,1020,0
03,0,0,0,0,9999,1020,0
03,0,0,0,0,9999,1020,0
02,0,0,0,0,9999,1019,0
01,0,0,0,0,9999,1019,0
02,0,0,0,0,9999,1019,0
03,0,110,0,0,9999,1019,0
02,0,0,0,0,9999,1019,0
05,0,70,0,0,9999,1019,0
03,0,70,0,0,9999,1020,0
03,0,0,0,0,9999,1020,0
04,0,0,0,0,9999,1020,0
03,0,60,0,0,9999,1020,0
06,0,0,0,0,9999,1021,0
06,0,0,0,0,9999,1021,0
03,0,60,0,0,9999,1021,0
06,0,0,0,0,9999,1021,0
06,0,0,0,0,9999,1020,0
04,0,140,0,0,9999,1020,0
07,0,70,0.3,1,9999,1020,0
07,0,0,0.3,1,7000,1019,0
05,0,70,0.3,1,6000,1018,0
10,0,60,0.3,1,9000,1018,0
09,0,0,0.3,1,8000,1017,0
06,0,60,0.3,1,7000,1016,0
08,0,60,0.3,1,8000,1016,1
07,0,60,0.3,1,9999,1016,0
07,0,0,0.3,1,5000,1016,0
07,0,0,0.3,1,4000,1015,0
07,0,0,0.3,1,4000,1016,0
06,0,0,0.3,1,3000,1016,0
05,0,0,0.3,1,4500,1016,0
05,0,70,0.3,1,9000,1016,0
07,0,0,0.6,1,2700,1017,0
05,0,0,0.6,1,4000,1016,0
05,0,0,0.3,1,4500,1016,0
05,0,80,0.3,1,6000,1015,0
03,0,0,0.3,1,7000,1015,0
04,0,0,0.3,1,4500,1015,0
05,0,0,0.3,1,6000,1014,0
04,0,0,0.3,1,9999,1014,0
07,0,0,0.3,1,7000,1013,0
09,0,0,0.3,1,6000,1013,0
12,0,0,0,0,9999,1013,0
09,0,0,0,0,9999,1014,0
10,0,0,0.3,1,9999,1015,0
10,0,0,0.3,1,9999,1016,0
12,0,0,0.3,1,9999,1016,0
11,0,0,0.3,1,7000,1017,0
13,0,0,0.3,1,9999,1016,0
14,0,0,0,0,9999,1016,0
13,0,0,0.3,1,9999,1016,0
15,0,0,0,0,9999,1015,0
13,0,0,0,0,9999,1015,0
15,0,0,0,0,9999,1015,0
16,0,0,0,0,9999,1015,1
14,0,0,0,0,9999,1015,0
15,0,0,0,0,9999,1014,0
16,0,0,0,0,9999,1015,1
14,0,0,0,0,9999,1015,0
15,0,0,0,0,9999,1015,0
17,0,0,0,0,9999,1015,0
17,0,0,0,0,9999,1016,0
16,0,0,0,0,9000,1017,0
16,0,0,0,0,9000,1018,0
16,0,0,0,0,9000,1018,1
15,0,0,0,0,8000,1018,1
17,0,0,0,0,9000,1019,0
15,0,0,0,0,9000,1019,0
